Designator,Footprint,Quantity,Value,LCSC Part #
C3,0805,1,22uF 25V,C45783
C4,0402,1,1uF,C52923
D1,0603,1,"LED, YELLOW",C72038
J1,2X10-2.54MM-END-LAUNCH,1,Conn_02x10_Odd_Even,
J2,PinHeader_2x07_P1.27mm_Vertical,1,Conn_02x07_IDC_1.27mm,C2935955
J3,IDC-Header_2x03_P2.54mm_Vertical,1,Conn_02x03_IDC_2.54mm,C5372863
J4,IDC-Header_2x05_P2.54mm_Vertical,1,Conn_02x05_IDC_2.54mm,C5665
J5,PinHeader_2x05_P1.27mm_Vertical,1,Conn_02x05_IDC_1.27mm,C2962228
"J6, J7",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,2,Conn_01x04,C37815
J8,USB_C_Receptacle_HRO_TYPE-C-31-M-17,1,USB_C_Receptacle_PowerOnly_6P,C283541
"R1, R2, R3",0402,3,5.1k,C25905
SW1,SW_Push_1P1T_XKB_TS-1187A,1,SW_SPST,C318884
SW2,DPDT-AYZ0202,1,SW_DPDT_x2,C318998
U1,SOT-89-3,1,AMS1117-3.3,C5120796
